current_path,kind,title,action,target_path,asset_id,reason,batch
apps/dev-tunnel/scripts/setup.mjs,mjs,,keep,apps/dev-tunnel/scripts/setup.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/start.mjs,mjs,,keep,apps/dev-tunnel/scripts/start.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/status.mjs,mjs,,keep,apps/dev-tunnel/scripts/status.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/stop.mjs,mjs,,keep,apps/dev-tunnel/scripts/stop.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/verify.mjs,mjs,,keep,apps/dev-tunnel/scripts/verify.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/tests/dev-tunnel.test.mjs,mjs,,keep,apps/dev-tunnel/tests/dev-tunnel.test.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/README.md,md,Local Runtime,keep_review,apps/local-runtime/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/local-runtime/package.json,json,,keep,apps/local-runtime/package.json,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/src/README.md,md,Local Runtime Source,keep_review,apps/local-runtime/src/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/local-runtime/src/app.ts,ts,,keep,apps/local-runtime/src/app.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/src/concurrency.ts,ts,,keep,apps/local-runtime/src/concurrency.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/src/executor.ts,ts,,keep,apps/local-runtime/src/executor.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/src/handlers.ts,ts,,keep,apps/local-runtime/src/handlers.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/src/response.ts,ts,,keep,apps/local-runtime/src/response.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/src/server.ts,ts,,keep,apps/local-runtime/src/server.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/tests/README.md,md,Local Runtime Tests,keep_review,apps/local-runtime/tests/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/local-runtime/tests/runtime.test.mjs,mjs,,keep,apps/local-runtime/tests/runtime.test.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/local-runtime/tsconfig.json,json,,keep,apps/local-runtime/tsconfig.json,,当前实现或测试证据，不因知识重构修改,implementation-frozen
context/README.md,md,Context,replace,context/README.md,,重写为高密度当前上下文入口,01-control-plane
context/architecture-context.md,md,Architecture Context,replace,context/architecture-context.md,,明确当前实现、目标认知/控制/执行平面和差距,01-control-plane
context/current-status.md,md,Current Status,replace,context/current-status.md,,以 bd31893 为基线重建当前状态快照,01-control-plane
context/knowledge-strategy.md,md,Knowledge Strategy,replace,context/knowledge-strategy.md,,纳入 Registry、Knowledge Pack 与零预读覆盖发布,01-control-plane
context/project-context.md,md,Project Context,replace,context/project-context.md,,去除 Task 001 临时边界，写入长期项目定位,01-control-plane
context/roadmap.md,md,Roadmap,replace,context/roadmap.md,,重建 Phase 2.5 知识资产重构和后续路线,01-control-plane
docs/AGENTS.md,md,Documentation and Knowledge Asset Rules,replace,docs/AGENTS.md,,移除正文大段元数据要求，改由 platform-registry 管理,01-control-plane
docs/README.md,md,Documentation,replace,docs/README.md,,更新文档分层和目标目录,01-control-plane
docs/adr/ADR-001-github-feishu-dual-source.md,md,ADR-001 GitHub 与飞书双源事实架构,keep,docs/adr/ADR-001-github-feishu-dual-source.md,ADR-001,保留 superseded 决策历史,01-control-plane
docs/adr/ADR-002-git-single-source-feishu-projection.md,md,ADR-002 Git 唯一真源与飞书投影模型,revise,docs/adr/ADR-002-git-single-source-feishu-projection.md,ADR-002,补充 overwrite 与映射后按篇发布,07-feishu-release
docs/adr/README.md,md,Architecture Decision Records,revise,docs/adr/README.md,,补充状态、替代关系与 Registry 规则,01-control-plane
docs/adr/模板/README.md,md,ADR Templates,keep_review,docs/adr/模板/README.md,,保留并在相关批次复核,01-control-plane
docs/adr/模板/adr.md,md,ADR-xxx Title,keep_review,docs/adr/模板/adr.md,,保留并在相关批次复核,01-control-plane
docs/knowledge/Agent与能力/README.md,md,Agent与能力,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/Agent与能力/Skill设计/README.md,md,Skill设计,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/Agent与能力/Skill设计/SKL-001-AI知识技能.md,md,SKL-001 AI 知识技能,revise_move,docs/knowledge/06_智能体资产体系/SKL-001-AI知识技能.md,SKL-001,保留 Skill 资产说明，去除正文系统元数据,05-agent-workflow
docs/knowledge/Agent与能力/Skill设计/SKL-002-工程洞见提炼技能.md,md,SKL-002 工程洞见提炼技能,revise_move,docs/knowledge/06_智能体资产体系/SKL-002-工程洞见提炼技能.md,SKL-002,保留真实 Skill 能力与 Registry 边界,05-agent-workflow
docs/knowledge/README.md,md,智能体工程探索录,replace,docs/knowledge/README.md,,重建 00～10 知识树入口,02-entry-product
docs/knowledge/作品集/PRT-001-项目故事.md,md,PRT-001 项目故事,revise_move,docs/knowledge/09_作品集/PRT-001-ai-agent-platform项目故事.md,PRT-001,从提纲升级为证据化项目故事,06-experiments-portfolio
docs/knowledge/作品集/PRT-002-Demo路线图.md,md,PRT-002 Demo 路线图,revise_move,docs/knowledge/09_作品集/PRT-002-Demo路线图.md,PRT-002,校准已实现 Demo 与未来 Demo,06-experiments-portfolio
docs/knowledge/作品集/README.md,md,作品集,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/学习路线/README.md,md,学习路线,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/实验与复盘/EXP-001-公开飞书知识库读取实验.md,md,EXP-001 公开飞书知识库读取实验,move,docs/knowledge/08_实验与复盘/EXP-001-公开飞书知识库读取实验.md,EXP-001,保留验证事实,06-experiments-portfolio
docs/knowledge/实验与复盘/EXP-002-公开飞书知识库递归导出实验.md,md,EXP-002 公开飞书知识库递归导出实验,move,docs/knowledge/08_实验与复盘/EXP-002-公开飞书知识库递归导出实验.md,EXP-002,保留验证事实,06-experiments-portfolio
docs/knowledge/实验与复盘/EXP-003-知识系统初始化阶段复盘.md,md,EXP-003 知识系统初始化阶段复盘,revise_move,docs/knowledge/08_实验与复盘/EXP-003-知识系统初始化阶段复盘.md,EXP-003,保留真实演进并校准现行路线,06-experiments-portfolio
docs/knowledge/实验与复盘/EXP-004-工程洞见提炼Skill首轮评测.md,md,EXP-004 工程洞见提炼 Skill 首轮评测,move,docs/knowledge/08_实验与复盘/EXP-004-工程洞见提炼Skill首轮评测.md,EXP-004,保留评测数据和限制,06-experiments-portfolio
docs/knowledge/实验与复盘/README.md,md,实验与复盘,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/工作流/README.md,md,工作流,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/工作流/WFL-001-知识生命周期.md,md,WFL-001 知识生命周期,revise_move,docs/knowledge/07_工作流与项目治理/WFL-001-知识生命周期与飞书发布.md,WFL-001,扩展为零预读、按文档 overwrite 工作流,05-agent-workflow
docs/knowledge/工作流/WFL-002-ChatGPT任务到Codex与Git.md,md,WFL-002 ChatGPT 任务到 Codex 与 Git,replace_move,docs/knowledge/07_工作流与项目治理/WFL-002-ChatGPT任务到Codex与Git.md,WFL-002,以已验证 Actions→Gateway→Runtime 链路重写,05-agent-workflow
docs/knowledge/工作流/WFL-003-AI视频工作流.md,md,WFL-003 AI 视频工作流,revise_move,docs/knowledge/07_工作流与项目治理/WFL-003-AI视频工作流.md,WFL-003,明确未来产品工作流，保持未开始状态,05-agent-workflow
docs/knowledge/工作流/WFL-004-多模型Agent执行治理与Token预算.md,md,WFL-004 多模型 Agent 执行治理与 Token 预算,revise_move,docs/knowledge/07_工作流与项目治理/WFL-004-多模型Agent执行治理与Token预算.md,WFL-004,保留真实 Token 教训并纳入任务分级,05-agent-workflow
docs/knowledge/工程经验/INS-001-工程洞见方法与实践.md,md,INS-001 工程洞见方法与实践,revise_move,docs/knowledge/05_上下文与知识系统/INS-001-工程洞见方法与实践.md,INS-001,保留面向人视图，Registry 仍为机器真源,04-knowledge-architecture
docs/knowledge/技术方案/README.md,md,技术方案,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/技术方案/SOL-004-跨平台文档可移植性与发布适配.md,md,SOL-004 跨平台文档可移植性与发布适配,split_move,docs/technical/技术方案/知识系统/SOL-004-跨平台文档可移植性与发布适配.md,SOL-004,技术实现移入 technical；知识结论并入 ARC-005/WFL-001,04-knowledge-architecture
docs/knowledge/架构与领域/README.md,md,架构与领域,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/架构与领域/平台架构/ARC-001-平台目标架构.md,md,ARC-001 平台目标架构,replace_move,docs/knowledge/04_平台架构/ARC-001-ai-agent-platform总体架构/README.md,ARC-001,基于当前实现与目标三平面重写,04-knowledge-architecture
docs/knowledge/架构与领域/平台架构/ARC-003-六个月交付架构.md,md,ARC-003 六个月交付架构,merge_archive,docs/technical/归档/历史资产/ARC-003-六个月交付架构-v1.md,ARC-003,并入 PRD-005 与 DEC-001，保留历史 ID,03-foundation-theory
docs/knowledge/架构与领域/平台架构/README.md,md,平台架构,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/架构与领域/领域模型/DOM-001-核心领域模型.md,md,DOM-001 核心领域模型,revise_move,docs/knowledge/04_平台架构/DOM-001-核心领域模型.md,DOM-001,保留 ID，基于最新系统对象重构,04-knowledge-architecture
docs/knowledge/架构与领域/领域模型/README.md,md,领域模型,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/知识系统/ARC-002-智能体平台知识资产架构.md,md,ARC-002 智能体平台知识资产架构,revise_move,docs/knowledge/05_上下文与知识系统/ARC-002-智能体平台知识资产架构.md,ARC-002,纳入 Agent Profile、Knowledge Pack、Registry,04-knowledge-architecture
docs/knowledge/知识系统/ARC-005-单一真源与知识投影架构.md,md,ARC-005 单一真源与知识投影架构,revise_move,docs/knowledge/05_上下文与知识系统/ARC-005-单一真源与知识投影架构.md,ARC-005,加入零预读、映射后按篇覆盖,04-knowledge-architecture
docs/knowledge/知识系统/ARC-006-项目知识分层与Agent上下文架构.md,md,ARC-006 项目知识分层与 Agent 上下文架构,revise_move,docs/knowledge/05_上下文与知识系统/ARC-006-项目知识分层与Agent上下文架构.md,ARC-006,纳入四层上下文与 Checkpoint,04-knowledge-architecture
docs/knowledge/知识系统/README.md,md,知识系统,replace_or_remove,,,旧栏目 README 随目标知识树替换；空栏目删除,02-entry-product
docs/knowledge/00_项目入口/CTX-001-项目总览.md,md,CTX-001 项目总览,keep,docs/knowledge/00_项目入口/CTX-001-项目总览.md,CTX-001,00_项目入口人工 Review 与知识综合完成；聚合 PRD-001 的稳定入口内容,02-entry-and-product-documents
docs/technical/归档/历史资产/CTX-003-项目总览-v1.md,md,CTX-003 项目总览 v1,archive,docs/technical/归档/历史资产/CTX-003-项目总览-v1.md,CTX-003,归档完成；有效内容由 CTX-001 承接,02-entry-and-product-documents
docs/technical/归档/历史资产/00_项目入口_聚合前版本/PRD-001-平台愿景.md,md,PRD-001 平台愿景（聚合前版本）,archive,docs/technical/归档/历史资产/00_项目入口_聚合前版本/PRD-001-平台愿景.md,PRD-001,入口层重复内容已由 CTX-001 与 PRD-003 承接；原文转入技术归档,02-entry-and-product-documents
docs/technical/归档/历史资产/PRD-002-作品集成果-v1.md,md,PRD-002 作品集成果 v1,archive,docs/technical/归档/历史资产/PRD-002-作品集成果-v1.md,PRD-002,归档完成；保留既有 superseded_by 关系,02-entry-and-product-documents
docs/knowledge/项目与产品/README.md,md,项目与产品,replace_or_remove,,,旧栏目及其目录已清理完成,02-entry-and-product-documents
docs/knowledge/00_项目入口/CTX-005-当前能力与演进差距.md,md,CTX-005 当前能力与演进差距,keep,docs/knowledge/00_项目入口/CTX-005-当前能力与演进差距.md,CTX-005,人工 Review 与知识综合完成；吸收 CTX-007 的必要当前/目标差距摘要,02-entry-and-product-documents
docs/technical/归档/历史资产/00_项目入口_聚合前版本/CTX-006-知识库阅读导航.md,md,CTX-006 知识库阅读导航（聚合前版本）,archive,docs/technical/归档/历史资产/00_项目入口_聚合前版本/CTX-006-知识库阅读导航.md,CTX-006,导航内容已拆入知识库根 README、目录 README 与知识治理文档；原文转入技术归档,02-entry-and-product-documents
docs/technical/归档/历史资产/00_项目入口_聚合前版本/CTX-007-当前实现与目标架构.md,md,CTX-007 当前实现与目标架构（聚合前版本）,archive,docs/technical/归档/历史资产/00_项目入口_聚合前版本/CTX-007-当前实现与目标架构.md,CTX-007,当前能力摘要由 CTX-005 承接，完整目标架构由 ARC-001 承接；原文转入技术归档,02-entry-and-product-documents
docs/knowledge/00_项目入口/DEC-001-架构决策演进摘要.md,md,DEC-001 架构决策演进摘要,keep,docs/knowledge/00_项目入口/DEC-001-架构决策演进摘要.md,DEC-001,人工 Review 与知识综合完成；保留为入口层独立决策演进摘要,02-entry-and-product-documents
docs/knowledge/01_产品体系/PRD-003-ai-agent-platform产品定义.md,md,PRD-003 ai-agent-platform 产品定义,keep_review,docs/knowledge/01_产品体系/PRD-003-ai-agent-platform产品定义.md,PRD-003,正文物化完成；等待仓库级整体 Review,02-entry-and-product-documents
docs/knowledge/01_产品体系/PRD-004-用户价值与核心场景.md,md,PRD-004 用户价值与核心场景,keep_review,docs/knowledge/01_产品体系/PRD-004-用户价值与核心场景.md,PRD-004,正文物化完成；等待仓库级整体 Review,02-entry-and-product-documents
docs/knowledge/01_产品体系/PRD-005-能力地图与演进路线.md,md,PRD-005 能力地图与演进路线,keep_review,docs/knowledge/01_产品体系/PRD-005-能力地图与演进路线.md,PRD-005,正文物化完成；等待仓库级整体 Review,02-entry-and-product-documents
docs/knowledge/01_产品体系/PRD-006-AI视频工作流产品概念.md,md,PRD-006 AI 视频工作流产品概念,keep_review,docs/knowledge/01_产品体系/PRD-006-AI视频工作流产品概念.md,PRD-006,正文物化完成；等待仓库级整体 Review,02-entry-and-product-documents
docs/knowledge/01_产品体系/PRD-007-平台与上层产品边界.md,md,PRD-007 平台与上层产品边界,keep_review,docs/knowledge/01_产品体系/PRD-007-平台与上层产品边界.md,PRD-007,正文物化完成；等待仓库级整体 Review,02-entry-and-product-documents
docs/learning/README.md,md,Learning,revise,docs/learning/README.md,,明确学习层与正式知识层蒸馏关系,03-foundation-theory
docs/learning/chatgpt-agent-engineering/00_ChatGPT_Agent_工程体系学习总纲.md,md,ChatGPT Agent 工程体系学习总纲 v1.0,keep_review,docs/learning/chatgpt-agent-engineering/00_ChatGPT_Agent_工程体系学习总纲.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/01_学习大纲图.md,md,ChatGPT Agent 工程体系学习大纲图,keep_review,docs/learning/chatgpt-agent-engineering/01_学习大纲图.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/02_第一章_ChatGPT与Codex配置项及能力基线.md,md,第一章：ChatGPT 与 Codex 配置项及能力基线,split_keep_source,docs/learning/chatgpt-agent-engineering/02_第一章_ChatGPT与Codex配置项及能力基线/,LNG-CH01,拆分为章节目录；原文件在验证完成前保留,03-foundation-theory
docs/learning/chatgpt-agent-engineering/03_渐进式学习执行计划.md,md,渐进式学习执行计划,keep_review,docs/learning/chatgpt-agent-engineering/03_渐进式学习执行计划.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/04_知识库沉淀规范.md,md,ChatGPT Agent 工程体系知识库沉淀规范,keep_review,docs/learning/chatgpt-agent-engineering/04_知识库沉淀规范.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/05_ai-agent-platform仓库落位建议.md,md,`ai-agent-platform` 仓库落位建议,supersede_archive,docs/technical/归档/学习资产/05_ai-agent-platform仓库落位建议-v1.md,,由本蓝图 v2.0 替代,01-control-plane
docs/learning/chatgpt-agent-engineering/06_Codex入库执行任务.md,md,Codex 执行任务：将 ChatGPT Agent 工程体系学习大纲放入仓库,archive,docs/technical/归档/执行提示词/06_Codex入库执行任务-v1.md,,历史执行提示词，不作为现行规则,01-control-plane
docs/learning/chatgpt-agent-engineering/README.md,md,ChatGPT Agent 工程体系,keep_review,docs/learning/chatgpt-agent-engineering/README.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/assets/learning-roadmap.mmd,mmd,,keep_review,docs/learning/chatgpt-agent-engineering/assets/learning-roadmap.mmd,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/assets/six-layer-architecture.mmd,mmd,,keep_review,docs/learning/chatgpt-agent-engineering/assets/six-layer-architecture.mmd,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/sources/原始_Chat03_学习提示词.md,md,Chat03：ChatGPT App 与 Codex 深度学习与工程化应用,keep_review,docs/learning/chatgpt-agent-engineering/sources/原始_Chat03_学习提示词.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/sources/官方资料索引.md,md,官方资料索引,keep_review,docs/learning/chatgpt-agent-engineering/sources/官方资料索引.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/templates/ADR决策记录模板.md,md,ADR-XXXX：决策标题,keep_review,docs/learning/chatgpt-agent-engineering/templates/ADR决策记录模板.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/templates/实验记录模板.md,md,实验名称,keep_review,docs/learning/chatgpt-agent-engineering/templates/实验记录模板.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/templates/工具能力卡片模板.md,md,工具/能力名称,keep_review,docs/learning/chatgpt-agent-engineering/templates/工具能力卡片模板.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/learning/chatgpt-agent-engineering/templates/章节学习记录模板.md,md,章节名称,keep_review,docs/learning/chatgpt-agent-engineering/templates/章节学习记录模板.md,,学习资产保留，后续拆分与蒸馏,03-foundation-theory
docs/technical/Archive/README.md,md,Archive,move,docs/technical/归档/README.md,,统一中文归档目录,01-control-plane
docs/technical/Archive/历史Context/CTX-002-current-state.md,md,CTX-002 Current State,move,docs/technical/归档/历史Context/CTX-002-current-state.md,,统一中文归档目录,01-control-plane
docs/technical/Archive/历史Context/CTX-004-roadmap-6-months.md,md,CTX-004 Six-Month Roadmap,move,docs/technical/归档/历史Context/CTX-004-roadmap-6-months.md,,统一中文归档目录,01-control-plane
docs/technical/Archive/历史Context/README.md,md,Project Context,move,docs/technical/归档/历史Context/README.md,,统一中文归档目录,01-control-plane
docs/technical/Archive/历史Context/recovery-map.md,md,Recovery Map,move,docs/technical/归档/历史Context/recovery-map.md,,统一中文归档目录,01-control-plane
docs/technical/Archive/历史资产/README.md,md,Archive,move,docs/technical/归档/历史资产/README.md,,统一中文归档目录,01-control-plane
docs/technical/README.md,md,Technical Documentation,replace,docs/technical/README.md,,改为中文目标结构并移除元数据职责,01-control-plane
docs/technical/元数据/README.md,md,Knowledge Metadata,replace_move,platform-registry/README.md,,替换为 Platform Registry 入口,01-control-plane
docs/technical/元数据/assets.yaml,yaml,,move_transform,platform-registry/assets.yaml,,迁移为全平台资产登记，更新路径和类型,01-control-plane
docs/technical/元数据/engineering-insights/README.md,md,Engineering Insight Registry,move,platform-registry/registries/engineering-insights/README.md,,保留领域 Registry,01-control-plane
docs/technical/元数据/engineering-insights/governance.json,json,,move,platform-registry/registries/engineering-insights/governance.json,,保留治理配置,01-control-plane
docs/technical/元数据/engineering-insights/insights/EI-INTENT_ADAPTER_001.json,json,,move,platform-registry/registries/engineering-insights/insights/EI-INTENT_ADAPTER_001.json,,保留工程洞见条目,01-control-plane
docs/technical/元数据/engineering-insights/insights/EI-LAYERED_AUTH_001.json,json,,move,platform-registry/registries/engineering-insights/insights/EI-LAYERED_AUTH_001.json,,保留工程洞见条目,01-control-plane
docs/technical/元数据/engineering-insights/insights/EI-PHASE_FIT_EXIT_001.json,json,,move,platform-registry/registries/engineering-insights/insights/EI-PHASE_FIT_EXIT_001.json,,保留工程洞见条目,01-control-plane
docs/technical/元数据/engineering-insights/insights/EI-REAL_PATH_001.json,json,,move,platform-registry/registries/engineering-insights/insights/EI-REAL_PATH_001.json,,保留工程洞见条目,01-control-plane
docs/technical/元数据/engineering-insights/insights/EI-RISK_REVIEW_001.json,json,,move,platform-registry/registries/engineering-insights/insights/EI-RISK_REVIEW_001.json,,保留工程洞见条目,01-control-plane
docs/technical/元数据/engineering-insights/registry.json,json,,move,platform-registry/registries/engineering-insights/registry.json,,保留数据与状态,01-control-plane
docs/technical/元数据/engineering-insights/relationships.json,json,,move,platform-registry/registries/engineering-insights/relationships.json,,保留领域关系,01-control-plane
docs/technical/元数据/migration-inventory.yaml,yaml,,move_transform,platform-registry/migrations/current-migration.yaml,,迁移为本轮迁移状态记录,01-control-plane
docs/technical/元数据/relations.yaml,yaml,,move_transform,platform-registry/relations.yaml,,迁移并使用受控关系词表,01-control-plane
docs/technical/工程规范/ENG-001-public-repository-standard.md,md,ENG-001 Public Repository Standard,revise,docs/technical/工程规范/ENG-001-public-repository-standard.md,ENG-001,补充 Registry、Agent Profile 和知识包安全边界,01-control-plane
docs/technical/工程规范/README.md,md,Engineering,revise_or_move,,,随目标技术目录调整并登记文件,01-control-plane
docs/technical/工程规范/模板/README.md,md,Asset Templates,move_revise,docs/templates/README.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/architecture.md,md,Title,move_revise,docs/templates/architecture.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/common-asset.md,md,Title,move_revise,docs/templates/common-asset.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/experiment.md,md,EXP-xxx Title,move_revise,docs/templates/experiment.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/module-readme.md,md,Module Name,move_revise,docs/templates/module-readme.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/research.md,md,RSH-xxx Title,move_revise,docs/templates/research.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/skill-asset.md,md,Skill Name,move_revise,docs/templates/skill-asset.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/工程规范/模板/solution.md,md,SOL-xxx Title,move_revise,docs/templates/solution.md,,统一文档模板目录并移除正文大段 Front Matter,01-control-plane
docs/technical/技术方案/Gateway/README.md,md,Gateway 技术方案,revise_or_move,,,随目标技术目录调整并登记文件,01-control-plane
docs/technical/技术方案/Gateway/SOL-005-Custom-GPT-Actions与Gateway-MVP渐进式实施方案.md,md,SOL-005: Custom GPT Actions 与 Gateway MVP 渐进式实施方案,archive,docs/technical/归档/技术方案/Gateway/SOL-005-Custom-GPT-Actions与Gateway-MVP渐进式实施方案.md,SOL-005,历史 Cloudflare 方案，当前由 Dev Tunnels 路线替代,01-control-plane
